Timestamp,User,Action,Details
"Jan 13, 2025, 16:36:50",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":0},""AccessCost"":3}"
"Jan 13, 2025, 16:37:51",Test,cameras>0 changed to view,"{""Cost"":2,""Repeat"":1}"
"Jan 13, 2025, 17:05:26",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":0},""AccessCost"":3}"
"Jan 13, 2025, 17:08:37",Test,cameras>0 changed to view,"{""Cost"":2,""Repeat"":1}"
"Jan 13, 2025, 17:08:58",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-2},""AccessCost"":3}"
"Jan 13, 2025, 17:12:22",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-2},""AccessCost"":3}"
"Jan 13, 2025, 17:13:14",Test,files>0 changed to read,"{""Cost"":1,""Repeat"":1}"
"Jan 13, 2025, 17:13:22",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-3},""AccessCost"":3}"
"Jan 13, 2025, 17:13:51",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-3},""AccessCost"":3}"
"Jan 13, 2025, 17:14:22",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-3},""AccessCost"":3}"
"Jan 13, 2025, 17:14:41",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":-3},""AccessCost"":3}"
"Jan 14, 2025, 09:59:15",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":0},""AccessCost"":3}"
"Jan 14, 2025, 09:59:47",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":0},""AccessCost"":3}"
"Jan 14, 2025, 10:09:08",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":0},""AccessCost"":3}"
"Jan 14, 2025, 10:10:54",Test,Terminal Accessed,"{""Tags"":{""hack"":6,""rex"":2,""total"":8,""extra"":0},""AccessCost"":3}"
"Jan 14, 2025, 10:15:13",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":-2},""AccessCost"":3}"
"Jan 14, 2025, 10:37:39",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 14, 2025, 10:55:13",Test,Terminal Accessed,"{""Tags"":{""hack"":10,""rex"":2,""total"":12,""extra"":2},""AccessCost"":3}"
"Jan 14, 2025, 10:55:17",Test,Terminal Accessed,"{""Tags"":{""hack"":10,""rex"":2,""total"":12,""extra"":2},""AccessCost"":3}"
"Jan 15, 2025, 09:58:43",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":-2},""AccessCost"":2}"
"Jan 15, 2025, 09:59:00",Test,files>0 changed to read,"{""Cost"":0,""Repeat"":1}"
"Jan 15, 2025, 10:03:37",Test,Terminal Accessed,"{""Tags"":{""hack"":10,""rex"":2,""total"":12,""extra"":-2},""AccessCost"":2}"
"Jan 15, 2025, 11:47:44",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":-2},""AccessCost"":2}"
"Jan 15, 2025, 11:51:39",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":-2},""AccessCost"":2}"
"Jan 15, 2025, 11:52:21",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":-2},""AccessCost"":2}"
"Jan 15, 2025, 12:04:37",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 12:15:01",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 12:15:20",Test,files>0 changed to read,"{""Cost"":0,""Repeat"":1}"
"Jan 15, 2025, 12:17:49",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 12:18:33",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 12:20:16",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 12:21:32",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 12:22:07",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 12:22:47",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 12:23:19",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 12:34:42",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 12:34:56",Test,files>0 changed to read,"{""Cost"":0,""Repeat"":1}"
"Jan 15, 2025, 13:07:11",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 13:07:24",Test,files>0 changed to read,"{""Cost"":0,""Repeat"":1}"
"Jan 15, 2025, 13:07:43",Test,darkweb>0 changed to read,"{""Cost"":3,""Repeat"":1}"
"Jan 15, 2025, 13:15:15",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 13:15:54",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":0},""AccessCost"":2}"
"Jan 15, 2025, 13:16:07",Test,files>0 changed to read,"{""Cost"":0,""Repeat"":1}"
"Jan 15, 2025, 13:16:36",Test,darkweb>0 changed to read,"{""Cost"":2,""Repeat"":1}"
"Jan 15, 2025, 13:17:00",Test,Terminal Accessed,"{""Tags"":{""hack"":8,""rex"":2,""total"":10,""extra"":-2},""AccessCost"":2}"
"Jan 15, 2025, 13:17:16",Test,cameras>0 changed to view,"{""Cost"":0,""Repeat"":1}"
